,created_at,public_metrics,possibly_sensitive,conversation_id,reply_settings,source,author_id,lang,entities,text,id,referenced_tweets,attachments,context_annotations,geo,in_reply_to_user_id
10,2021-12-09T16:19:53.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,1468978720488796160,everyone,SocialNewsDesk,16699451,en,"{'annotations': [{'start': 55, 'end': 61, 'probability': 0.5274, 'type': 'Place', 'normalized_text': 'Madison'}], 'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/MCQE4Q0QCg', 'expanded_url': 'https://www.channel3000.com/madison-man-arrested-for-alleged-sexual-assault-on-uw-madison-campus/', 'display_url': 'channel3000.com/madison-man-ar…'}]}",JUST IN: Campus police say they arrested a 34-year-old Madison man earlier this week after an alleged sexual assault on the UW-Madison campus. https://t.co/MCQE4Q0QCg,1468978720488796160,,,,,
11,2021-12-03T15:13:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1466787726901006341,everyone,Twitter for iPad,216836757,en,"{'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/DB83IUjNmv', 'expanded_url': 'https://www.youtube.com/watch?v=547A2zIspqY', 'display_url': 'youtube.com/watch?v=547A2z…'}, {'start': 94, 'end': 117, 'url': 'https://t.co/s0H2rOTLLL', 'expanded_url': 'https://www.jsonline.com/story/news/2019/10/15/sexual-assault-misconduct-uw-madison-1-4-women-students/3990011002/', 'display_url': 'jsonline.com/story/news/201…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1466787728507518984/KP_3QWlo?format=jpg&name=orig', 'width': 1600, 'height': 800}, {'url': 'https://pbs.twimg.com/news_img/1466787728507518984/KP_3QWlo?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'About 1 in 4 UW-Madison undergraduate women have experienced a sexual assault, new survey finds', 'description': 'A survey from UW-Madison found one in four undergraduate women have been sexually assaulted since beginning college, a rate unchanged from 2015, when the survey began.', 'unwound_url': 'https://www.jsonline.com/story/news/2019/10/15/sexual-assault-misconduct-uw-madison-1-4-women-students/3990011002/'}, {'start': 118, 'end': 141, 'url': 'https://t.co/i2V8WuO7eV', 'expanded_url': 'https://twitter.com/ZontaMadison/status/1466787726901006341/photo/1', 'display_url': 'pic.twitter.com/i2V8WuO7eV'}]}","Women students on campus are in danger of sexual assault.
https://t.co/DB83IUjNmv

UW-Madison
https://t.co/s0H2rOTLLL https://t.co/i2V8WuO7eV",1466787726901006341,,{'media_keys': ['3_1466787723004583944']},,,
12,2021-10-08T15:02:24.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",False,1446491169672908801,everyone,Twitter Web App,930336259,en,"{'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/VtzwAtByBS', 'expanded_url': 'https://madison.com/wsj/news/local/education/university/former-student-sues-uw-over-sexual-harassment-allegations-against-former-chancellor-s-husband/article_169038e8-9fd9-5353-8878-b78c9a369cb4.html', 'display_url': 'madison.com/wsj/news/local…'}], 'mentions': [{'start': 9, 'end': 22, 'username': 'UWWhitewater', 'id': '15835554'}, {'start': 116, 'end': 125, 'username': 'UWSystem', 'id': '39261830'}, {'start': 144, 'end': 156, 'username': 'DeviShastri', 'id': '2768557992'}]}","A former @UWWhitewater student who accused the husband of a former chancellor of sexual assault/harassment has sued @UWSystem this week.

HT to @DeviShastri who first reported on this lawsuit.
https://t.co/VtzwAtByBS",1446491169672908801,,,,,
13,2021-09-21T14:09:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1440317183515447303,everyone,SocialNewsDesk,49649427,en,"{'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/jsa9KZTdBP', 'expanded_url': 'https://fox47.com/news/local/sexual-assault-reported-in-uw-madison-residence-hall?utm_source=twitter.com&utm_medium=social&utm_campaign=socsyntes_or_tndsyntes', 'display_url': 'fox47.com/news/local/sex…'}], 'hashtags': [{'start': 146, 'end': 159, 'tag': 'Fox47Madison'}]}","“UW-Madison prohibits sexual assault, domestic violence, dating violence, stalking, sexual harassment, and sexual exploitation,” the e-mail said. #Fox47Madison https://t.co/jsa9KZTdBP",1440317183515447303,,,,,
14,2021-09-21T12:34:08.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1440293264280612874,everyone,Twitter for iPhone,313676704,en,"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/CjE4kZZ8WM', 'expanded_url': 'https://www.channel3000.com/sexual-assault-reported-in-uw-madison-residence-hall/', 'display_url': 'channel3000.com/sexual-assault…'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}]}",RT @WISCTV_News3: SEXUAL ASSAULT REPORTED: Officials said the incident was not reported to campus police. https://t.co/CjE4kZZ8WM,1440293264280612874,"[{'type': 'retweeted', 'id': '1440284766960381953'}]",,,,
15,2021-09-21T12:10:28.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1440287310084390914,everyone,Twitter for Android,834672494,en,"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/CjE4kZZ8WM', 'expanded_url': 'https://www.channel3000.com/sexual-assault-reported-in-uw-madison-residence-hall/', 'display_url': 'channel3000.com/sexual-assault…'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'WISCTV_News3', 'id': '16699451'}]}",RT @WISCTV_News3: SEXUAL ASSAULT REPORTED: Officials said the incident was not reported to campus police. https://t.co/CjE4kZZ8WM,1440287310084390914,"[{'type': 'retweeted', 'id': '1440284766960381953'}]",,,,
16,2021-09-21T12:00:22.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,1440284766960381953,everyone,SocialNewsDesk,16699451,en,"{'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/CjE4kZZ8WM', 'expanded_url': 'https://www.channel3000.com/sexual-assault-reported-in-uw-madison-residence-hall/', 'display_url': 'channel3000.com/sexual-assault…'}]}",SEXUAL ASSAULT REPORTED: Officials said the incident was not reported to campus police. https://t.co/CjE4kZZ8WM,1440284766960381953,,,,,
17,2021-08-25T15:46:33.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1430557217061838849,everyone,Twitter Web App,1020348521608724481,en,"{'mentions': [{'start': 3, 'end': 19, 'username': 'sdccampussafety', 'id': '26397750'}]}","RT @sdccampussafety: UW-Madison rethinks sexual assault services, bringing forensic nurses on campus | Higher education | https://t.co/QYUj…",1430557217061838849,"[{'type': 'retweeted', 'id': '1427350870019219457'}]",,,,
18,2021-08-24T15:44:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1430194185727094789,everyone,TweetDeck,798631780056203264,en,"{'annotations': [{'start': 7, 'end': 16, 'probability': 0.5433, 'type': 'Organization', 'normalized_text': 'UW-Madison'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/ponAUrIWmP', 'expanded_url': 'https://madison.com/wsj/news/local/education/university/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/article_5060a496-88f2-5bc3-a0b8-463fab59b93e.html', 'display_url': 'madison.com/wsj/news/local…'}]}","ICYMI: UW-Madison rethinks sexual assault services, bringing forensic nurses on campus

https://t.co/ponAUrIWmP",1430194185727094789,,,,,
19,2021-08-17T19:05:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427708234568282115,everyone,Twitter for Android,731982233716695040,en,"{'annotations': [{'start': 0, 'end': 9, 'probability': 0.6353, 'type': 'Organization', 'normalized_text': 'UW-Madison'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/tKEoQGuiqi', 'expanded_url': 'https://madison.com/wsj/news/local/education/university/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/article_5060a496-88f2-5bc3-a0b8-463fab59b93e.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share', 'display_url': 'madison.com/wsj/news/local…'}], 'mentions': [{'start': 108, 'end': 123, 'username': 'WiStateJournal', 'id': '15752446'}]}","UW-Madison rethinks sexual assault services, bringing forensic nurses on campus https://t.co/tKEoQGuiqi via @WiStateJournal",1427708234568282115,,,,,
