,location,date,article_coverage,tweet_coverage,tweet_count,article_count
110,IUB,4/20/2000,0.0,0.0,0,0
111,IUB,4/21/2000,0.0,0.0,0,0
112,IUB,4/22/2000,0.0,0.0,0,0
113,IUB,4/23/2000,0.0,0.0,0,0
114,IUB,4/24/2000,0.0,0.0,0,0
115,IUB,4/25/2000,0.0,0.0,0,0
116,IUB,4/26/2000,0.0,0.0,0,0
117,IUB,4/27/2000,0.0,0.0,0,0
118,IUB,4/28/2000,0.0,0.0,0,0
119,IUB,4/29/2000,0.0,0.0,0,0
120,IUB,4/30/2000,0.0,0.0,0,0
121,IUB,05/01/2000,0.0,0.0,0,0
122,IUB,05/02/2000,0.0,0.0,0,0
123,IUB,05/03/2000,0.0,0.0,0,0
124,IUB,05/04/2000,0.0,0.0,0,0
125,IUB,05/05/2000,0.0,0.0,0,0
126,IUB,05/06/2000,0.0,0.0,0,0
127,IUB,05/07/2000,0.0,0.0,0,0
128,IUB,05/08/2000,0.0,0.0,0,0
129,IUB,05/09/2000,0.0,0.0,0,0
130,IUB,5/10/2000,0.0,0.0,0,0
131,IUB,5/11/2000,0.0,0.0,0,0
132,IUB,5/12/2000,0.0,0.0,0,0
133,IUB,5/13/2000,0.0,0.0,0,0
134,IUB,5/14/2000,0.0,0.0,0,0
135,IUB,5/15/2000,0.0,0.0,0,0
136,IUB,5/16/2000,0.0,0.0,0,0
137,IUB,5/17/2000,0.0,0.0,0,0
138,IUB,5/18/2000,0.0,0.0,0,0
139,IUB,5/19/2000,0.0,0.0,0,0
140,IUB,5/20/2000,0.0,0.0,0,0
141,IUB,5/21/2000,0.0,0.0,0,0
142,IUB,5/22/2000,0.0,0.0,0,0
143,IUB,5/23/2000,0.0,0.0,0,0
144,IUB,5/24/2000,0.0,0.0,0,0
145,IUB,5/25/2000,0.0,0.0,0,0
146,IUB,5/26/2000,0.0,0.0,0,0
147,IUB,5/27/2000,0.0,0.0,0,0
148,IUB,5/28/2000,0.0,0.0,0,0
149,IUB,5/29/2000,0.0,0.0,0,0
150,IUB,5/30/2000,0.0,0.0,0,0
151,IUB,5/31/2000,0.0,0.0,0,0
152,IUB,06/01/2000,0.0,0.0,0,0
153,IUB,06/02/2000,0.0,0.0,0,0
154,IUB,06/03/2000,0.0,0.0,0,0
155,IUB,06/04/2000,0.0,0.0,0,0
156,IUB,06/05/2000,0.0,0.0,0,0
157,IUB,06/06/2000,0.0,0.0,0,0
158,IUB,06/07/2000,0.0,0.0,0,0
159,IUB,06/08/2000,0.0,0.0,0,0
160,IUB,06/09/2000,0.0,0.0,0,0
161,IUB,6/10/2000,0.0,0.0,0,0
162,IUB,6/11/2000,0.0,0.0,0,0
163,IUB,6/12/2000,0.0,0.0,0,0
164,IUB,6/13/2000,0.0,0.0,0,0
165,IUB,6/14/2000,0.0,0.0,0,0
166,IUB,6/15/2000,0.0,0.0,0,0
167,IUB,6/16/2000,0.0,0.0,0,0
168,IUB,6/17/2000,0.0,0.0,0,0
169,IUB,6/18/2000,0.0,0.0,0,0
170,IUB,6/19/2000,0.0,0.0,0,0
171,IUB,6/20/2000,0.0,0.0,0,0
172,IUB,6/21/2000,0.0,0.0,0,0
173,IUB,6/22/2000,0.0,0.0,0,0
174,IUB,6/23/2000,0.0,0.0,0,0
175,IUB,6/24/2000,0.0,0.0,0,0
176,IUB,6/25/2000,0.0,0.0,0,0
177,IUB,6/26/2000,0.0,0.0,0,0
178,IUB,6/27/2000,0.0,0.0,0,0
179,IUB,6/28/2000,0.0,0.0,0,0
180,IUB,6/29/2000,0.0,0.0,0,0
181,IUB,6/30/2000,0.0,0.0,0,0
182,IUB,07/01/2000,0.0,0.0,0,0
183,IUB,07/02/2000,0.0,0.0,0,0
184,IUB,07/03/2000,0.0,0.0,0,0
185,IUB,07/04/2000,0.0,0.0,0,0
186,IUB,07/05/2000,0.0,0.0,0,0
187,IUB,07/06/2000,0.0,0.0,0,0
188,IUB,07/07/2000,0.0,0.0,0,0
189,IUB,07/08/2000,0.0,0.0,0,0
190,IUB,07/09/2000,0.0,0.0,0,0
191,IUB,7/10/2000,0.0,0.0,0,0
192,IUB,7/11/2000,0.0,0.0,0,0
193,IUB,7/12/2000,0.0,0.0,0,0
194,IUB,7/13/2000,0.0,0.0,0,0
195,IUB,7/14/2000,0.0,0.0,0,0
196,IUB,7/15/2000,0.0,0.0,0,0
197,IUB,7/16/2000,0.0,0.0,0,0
198,IUB,7/17/2000,0.0,0.0,0,0
199,IUB,7/18/2000,0.0,0.0,0,0
200,IUB,7/19/2000,0.0,0.0,0,0
201,IUB,7/20/2000,0.0,0.0,0,0
202,IUB,7/21/2000,0.0,0.0,0,0
203,IUB,7/22/2000,0.0,0.0,0,0
204,IUB,7/23/2000,0.0,0.0,0,0
205,IUB,7/24/2000,0.0,0.0,0,0
206,IUB,7/25/2000,0.0,0.0,0,0
207,IUB,7/26/2000,0.0,0.0,0,0
208,IUB,7/27/2000,0.0,0.0,0,0
209,IUB,7/28/2000,0.0,0.0,0,0
210,IUB,7/29/2000,0.0,0.0,0,0
211,IUB,7/30/2000,0.0,0.0,0,0
212,IUB,7/31/2000,0.0,0.0,0,0
213,IUB,08/01/2000,0.0,0.0,0,0
214,IUB,08/02/2000,0.0,0.0,0,0
215,IUB,08/03/2000,0.0,0.0,0,0
216,IUB,08/04/2000,0.0,0.0,0,0
217,IUB,08/05/2000,0.0,0.0,0,0
218,IUB,08/06/2000,0.0,0.0,0,0
219,IUB,08/07/2000,0.0,0.0,0,0
220,IUB,08/08/2000,0.0,0.0,0,0
221,IUB,08/09/2000,0.0,0.0,0,0
222,IUB,8/10/2000,0.0,0.0,0,0
223,IUB,8/11/2000,0.0,0.0,0,0
224,IUB,8/12/2000,0.0,0.0,0,0
225,IUB,8/13/2000,0.0,0.0,0,0
226,IUB,8/14/2000,0.0,0.0,0,0
227,IUB,8/15/2000,0.0,0.0,0,0
228,IUB,8/16/2000,0.0,0.0,0,0
229,IUB,8/17/2000,0.0,0.0,0,0
230,IUB,8/18/2000,0.0,0.0,0,0
231,IUB,8/19/2000,0.0,0.0,0,0
232,IUB,8/20/2000,0.0,0.0,0,0
233,IUB,8/21/2000,0.0,0.0,0,0
234,IUB,8/22/2000,0.0,0.0,0,0
235,IUB,8/23/2000,0.0,0.0,0,0
236,IUB,8/24/2000,0.0,0.0,0,0
237,IUB,8/25/2000,0.0,0.0,0,0
238,IUB,8/26/2000,0.0,0.0,0,0
239,IUB,8/27/2000,0.0,0.0,0,0
240,IUB,8/28/2000,0.0,0.0,0,0
241,IUB,8/29/2000,0.0,0.0,0,0
242,IUB,8/30/2000,0.0,0.0,0,0
243,IUB,8/31/2000,0.0,0.0,0,0
244,IUB,09/01/2000,0.0,0.0,0,0
245,IUB,09/02/2000,0.0,0.0,0,0
246,IUB,09/03/2000,0.0,0.0,0,0
247,IUB,09/04/2000,0.0,0.0,0,0
248,IUB,09/05/2000,0.0,0.0,0,0
249,IUB,09/06/2000,0.0,0.0,0,0
250,IUB,09/07/2000,0.0,0.0,0,0
251,IUB,09/08/2000,0.0,0.0,0,0
252,IUB,09/09/2000,0.0,0.0,0,0
253,IUB,9/10/2000,0.0,0.0,0,0
254,IUB,9/11/2000,0.0,0.0,0,0
255,IUB,9/12/2000,0.0,0.0,0,0
256,IUB,9/13/2000,0.0,0.0,0,0
257,IUB,9/14/2000,0.0,0.0,0,0
258,IUB,9/15/2000,0.0,0.0,0,0
259,IUB,9/16/2000,0.0,0.0,0,0
260,IUB,9/17/2000,0.0,0.0,0,0
261,IUB,9/18/2000,0.0,0.0,0,0
262,IUB,9/19/2000,0.0,0.0,0,0
263,IUB,9/20/2000,0.0,0.0,0,0
264,IUB,9/21/2000,0.0,0.0,0,0
265,IUB,9/22/2000,0.0,0.0,0,0
266,IUB,9/23/2000,0.0,0.0,0,0
267,IUB,9/24/2000,0.0,0.0,0,0
268,IUB,9/25/2000,0.0,0.0,0,0
269,IUB,9/26/2000,0.0,0.0,0,0
270,IUB,9/27/2000,0.0,0.0,0,0
271,IUB,9/28/2000,0.0,0.0,0,0
272,IUB,9/29/2000,0.0,0.0,0,0
273,IUB,9/30/2000,0.0,0.0,0,0
274,IUB,010/01/2000,0.0,0.0,0,0
275,IUB,010/02/2000,0.0,0.0,0,0
276,IUB,010/03/2000,0.0,0.0,0,0
277,IUB,010/04/2000,0.0,0.0,0,0
278,IUB,010/05/2000,0.0,0.0,0,0
279,IUB,010/06/2000,0.0,0.0,0,0
280,IUB,010/07/2000,0.0,0.0,0,0
281,IUB,010/08/2000,0.0,0.0,0,0
282,IUB,010/09/2000,0.0,0.0,0,0
283,IUB,10/10/2000,0.0,0.0,0,0
284,IUB,10/11/2000,0.0,0.0,0,0
285,IUB,10/12/2000,0.0,0.0,0,0
286,IUB,10/13/2000,0.0,0.0,0,0
287,IUB,10/14/2000,0.0,0.0,0,0
288,IUB,10/15/2000,0.0,0.0,0,0
289,IUB,10/16/2000,0.0,0.0,0,0
290,IUB,10/17/2000,0.0,0.0,0,0
291,IUB,10/18/2000,0.0,0.0,0,0
292,IUB,10/19/2000,0.0,0.0,0,0
293,IUB,10/20/2000,0.0,0.0,0,0
294,IUB,10/21/2000,0.0,0.0,0,0
295,IUB,10/22/2000,0.0,0.0,0,0
296,IUB,10/23/2000,0.0,0.0,0,0
297,IUB,10/24/2000,0.0,0.0,0,0
298,IUB,10/25/2000,0.0,0.0,0,0
299,IUB,10/26/2000,0.0,0.0,0,0
300,IUB,10/27/2000,0.0,0.0,0,0
301,IUB,10/28/2000,0.0,0.0,0,0
302,IUB,10/29/2000,0.0,0.0,0,0
303,IUB,10/30/2000,0.0,0.0,0,0
304,IUB,10/31/2000,0.0,0.0,0,0
305,IUB,011/01/2000,0.0,0.0,0,0
306,IUB,011/02/2000,0.0,0.0,0,0
307,IUB,011/03/2000,0.0,0.0,0,0
308,IUB,011/04/2000,0.0,0.0,0,0
309,IUB,011/05/2000,0.0,0.0,0,0
310,IUB,011/06/2000,0.0,0.0,0,0
311,IUB,011/07/2000,0.0,0.0,0,0
312,IUB,011/08/2000,0.0,0.0,0,0
313,IUB,011/09/2000,0.0,0.0,0,0
314,IUB,11/10/2000,0.0,0.0,0,0
315,IUB,11/11/2000,0.0,0.0,0,0
316,IUB,11/12/2000,0.0,0.0,0,0
317,IUB,11/13/2000,0.0,0.0,0,0
318,IUB,11/14/2000,0.0,0.0,0,0
319,IUB,11/15/2000,0.0,0.0,0,0
320,IUB,11/16/2000,0.0,0.0,0,0
321,IUB,11/17/2000,0.0,0.0,0,0
322,IUB,11/18/2000,0.0,0.0,0,0
323,IUB,11/19/2000,0.0,0.0,0,0
324,IUB,11/20/2000,0.0,0.0,0,0
325,IUB,11/21/2000,0.0,0.0,0,0
326,IUB,11/22/2000,0.0,0.0,0,0
327,IUB,11/23/2000,0.0,0.0,0,0
328,IUB,11/24/2000,0.0,0.0,0,0
329,IUB,11/25/2000,0.0,0.0,0,0
330,IUB,11/26/2000,0.0,0.0,0,0
331,IUB,11/27/2000,0.0,0.0,0,0
332,IUB,11/28/2000,0.0,0.0,0,0
333,IUB,11/29/2000,0.0,0.0,0,0
334,IUB,11/30/2000,0.0,0.0,0,0
335,IUB,012/01/2000,0.0,0.0,0,0
336,IUB,012/02/2000,0.0,0.0,0,0
337,IUB,012/03/2000,0.0,0.0,0,0
338,IUB,012/04/2000,0.0,0.0,0,0
339,IUB,012/05/2000,0.0,0.0,0,0
340,IUB,012/06/2000,0.0,0.0,0,0
341,IUB,012/07/2000,0.0,0.0,0,0
342,IUB,012/08/2000,0.0,0.0,0,0
343,IUB,012/09/2000,0.0,0.0,0,0
344,IUB,12/10/2000,0.0,0.0,0,0
345,IUB,12/11/2000,0.0,0.0,0,0
346,IUB,12/12/2000,0.0,0.0,0,0
347,IUB,12/13/2000,0.0,0.0,0,0
348,IUB,12/14/2000,0.0,0.0,0,0
349,IUB,12/15/2000,0.0,0.0,0,0
350,IUB,12/16/2000,0.0,0.0,0,0
351,IUB,12/17/2000,0.0,0.0,0,0
352,IUB,12/18/2000,0.0,0.0,0,0
353,IUB,12/19/2000,0.0,0.0,0,0
354,IUB,12/20/2000,0.0,0.0,0,0
355,IUB,12/21/2000,0.0,0.0,0,0
356,IUB,12/22/2000,0.0,0.0,0,0
357,IUB,12/23/2000,0.0,0.0,0,0
358,IUB,12/24/2000,0.0,0.0,0,0
359,IUB,12/25/2000,0.0,0.0,0,0
360,IUB,12/26/2000,0.0,0.0,0,0
361,IUB,12/27/2000,0.0,0.0,0,0
362,IUB,12/28/2000,0.0,0.0,0,0
363,IUB,12/29/2000,0.0,0.0,0,0
364,IUB,12/30/2000,0.0,0.0,0,0
365,IUB,12/31/2000,0.0,0.0,0,0
366,IUB,01/01/2001,0.0,0.0,0,0
367,IUB,01/02/2001,0.0,0.0,0,0
368,IUB,01/03/2001,0.0,0.0,0,0
369,IUB,01/04/2001,0.0,0.0,0,0
370,IUB,01/05/2001,0.0,0.0,0,0
371,IUB,01/06/2001,0.0,0.0,0,0
372,IUB,01/07/2001,0.0,0.0,0,0
373,IUB,01/08/2001,0.0,0.0,0,0
374,IUB,01/09/2001,0.0,0.0,0,0
375,IUB,1/10/2001,0.0,0.0,0,0
376,IUB,1/11/2001,0.0,0.0,0,0
377,IUB,1/12/2001,0.0,0.0,0,0
378,IUB,1/13/2001,0.0,0.0,0,0
379,IUB,1/14/2001,0.0,0.0,0,0
380,IUB,1/15/2001,0.0,0.0,0,0
381,IUB,1/16/2001,0.0,0.0,0,0
382,IUB,1/17/2001,0.0,0.0,0,0
383,IUB,1/18/2001,0.0,0.0,0,0
384,IUB,1/19/2001,0.0,0.0,0,0
385,IUB,1/20/2001,0.0,0.0,0,0
386,IUB,1/21/2001,0.0,0.0,0,0
387,IUB,1/22/2001,0.0,0.0,0,0
