,date,average_tweets,average_articles,location,hl_tweets,hl_articles
0,1999-01-01,0.0,0.0,IUB,0.060563794855327306,2.3735356773997798
1,1999-01-02,0.0,0.0,IUB,0.04807187418953547,2.2577769764449047
2,1999-01-03,0.0,0.0,IUB,0.03815654375051521,2.147663893954648
3,1999-01-04,0.0,0.0,IUB,0.03028635466228439,2.042921089867443
4,1999-01-05,0.0,0.0,IUB,0.02403947497779557,1.9432866526149801
5,1999-01-06,0.0,0.0,IUB,0.019081080032643062,1.8485114442068644
6,1999-01-07,0.0,0.09090909090909091,IUB,0.1060544971855764,1.7583584772558822
7,1999-01-08,0.0,0.18181818181818182,IUB,0.2659978217848976,1.6726023223860638
8,1999-01-09,0.0,0.09090909090909091,IUB,0.30204205993917327,1.5910285445418517
9,1999-01-10,0.09090909090909091,0.0,IUB,0.23974270337630402,1.6043422576978477
10,1999-01-11,0.18181818181818182,0.0,IUB,0.19029324536375294,1.7079157443102806
11,1999-01-12,0.45454545454545453,0.0,IUB,0.15104325896513895,2.07916516510143
12,1999-01-13,0.6363636363636364,0.0,IUB,0.11988899571921224,2.614126719805003
13,1999-01-14,0.2727272727272727,0.0,IUB,0.09516062744566903,2.759361527979325
14,1999-01-15,0.45454545454545453,0.0,IUB,0.07553274561630402,3.079331332794638
15,1999-01-16,0.36363636363636365,0.0,IUB,0.059953321173660985,3.2927869351776238
16,1999-01-17,0.5454545454545454,0.0,IUB,0.04758731713542111,3.677650366807026
17,1999-01-18,0.7272727272727273,0.0,IUB,0.0377719316931189,4.2255619692054145
18,1999-01-19,0.6363636363636364,0.0,IUB,0.02998107289321582,4.6558425165230055
19,1999-01-20,0.45454545454545453,0.0,IUB,0.023797160789424798,4.883319852103591
20,1999-01-21,0.7272727272727273,0.0,IUB,0.01888874569815286,5.372430259842138
21,1999-01-22,0.45454545454545453,0.0,IUB,0.014992742924527363,5.564959198785312
22,1999-01-23,0.5454545454545454,0.0,IUB,0.011900331763318017,5.839007481485052
23,1999-01-24,0.6363636363636364,0.0,IUB,0.00944576297945828,6.190599362632029
24,1999-01-25,0.45454545454545453,0.0,IUB,0.007497474863610682,6.343225723576401
25,1999-01-26,0.45454545454545453,0.0,IUB,0.0059510416948549945,6.488408409061162
26,1999-01-27,0.45454545454545453,0.0,IUB,0.004723576657227667,6.6265104514223045
27,1999-01-28,0.6363636363636364,0.0,IUB,0.0037492892136844255,6.939695359518037
28,1999-01-29,1.1818181818181819,0.0,IUB,0.002975958818481571,7.7830606048627935
29,1999-01-30,0.5454545454545454,0.0,IUB,0.0023621359635244347,7.948930805472359
30,1999-01-31,0.7272727272727273,0.0,IUB,0.00187492053839053,8.288529602758203
31,1999-02-01,0.0,0.18181818181818182,IUB,0.18330638024518223,7.884293243988816
32,1999-02-02,0.0,0.0,IUB,0.14549750837666434,7.499771725074356
33,1999-02-03,0.0,0.18181818181818182,IUB,0.2973052964265332,7.134003541929195
34,1999-02-04,0.0,0.0,IUB,0.23598294723504668,6.786074083575374
35,1999-02-05,0.0,0.7272727272727273,IUB,0.9145817058044968,6.455113345138614
36,1999-02-06,0.0,0.2727272727272727,IUB,0.9986668675381353,6.140293752383072
37,1999-02-07,0.0,0.18181818181818182,IUB,0.974499488004989,5.840828092344686
38,1999-02-08,0.0,0.0,IUB,0.7734987032606974,5.555967544888634
39,1999-02-09,0.0,0.09090909090909091,IUB,0.7048655386141897,5.284999810269064
40,1999-02-10,0.8181818181818182,0.0,IUB,0.5594795962462703,5.845429146190444
41,1999-02-11,0.7272727272727273,0.0,IUB,0.44408103598212806,6.287616929963155
42,1999-02-12,0.45454545454545453,0.0,IUB,0.3524846443768315,6.435511688315258
43,1999-02-13,0.7272727272727273,0.0,IUB,0.27978097341328895,6.848920806916468
44,1999-02-14,0.6363636363636364,0.0,IUB,0.22207320044388432,7.151258633977756
45,1999-02-15,0.45454545454545453,0.0,IUB,0.1762682635410663,7.257033089399875
46,1999-02-16,0.36363636363636365,0.0,IUB,0.1399110773820453,7.2667397728488545
47,1999-02-17,0.6363636363636364,0.0,IUB,0.11105294385364028,7.548700328487093
48,1999-02-18,0.8181818181818182,0.0,IUB,0.08814710435603022,7.998727687376945
49,1999-02-19,0.6363636363636364,0.0,IUB,0.06996583554410828,8.24498877116514
50,1999-02-20,0.45454545454545453,0.0,IUB,0.055534644945490104,8.297421378355722
51,1999-02-21,0.5454545454545454,0.0,IUB,0.044080039425490054,8.438205908027772
52,1999-02-22,0.5454545454545454,0.0,IUB,0.03498806695640094,8.57212429516633
53,1999-02-23,0.5454545454545454,0.0,IUB,0.027771409583579012,8.6995114054942
54,1999-02-24,0.5454545454545454,0.0,IUB,0.02204326381391604,8.820685773140188
55,1999-02-25,0.5454545454545454,0.0,IUB,0.01749660844933171,8.93595039714033
56,1999-02-26,0.9090909090909091,0.0,IUB,0.013887748648000249,9.409229862729632
57,1999-02-27,0.6363636363636364,0.0,IUB,0.0110232541962954,9.586699943682875
58,1999-02-28,0.6363636363636364,0.0,IUB,0.00874959189973825,9.755514706654127
59,1999-03-01,0.0,0.0,IUB,0.006253044439383901,9.25752304808075
60,1999-03-02,0.0,0.45454545454545453,IUB,0.45950874269986614,8.806028321327942
61,1999-03-03,0.0,0.6363636363636364,IUB,1.0010938604327533,8.376553252233778
62,1999-03-04,0.0,0.09090909090909091,IUB,0.8855167971401443,7.968023929421912
63,1999-03-05,0.0,0.18181818181818182,IUB,0.8846878115454381,7.579418816791928
64,1999-03-06,0.0,0.18181818181818182,IUB,0.884029812962146,7.209766199146867
