,possibly_sensitive,conversation_id,source,entities,created_at,author_id,geo,reply_settings,context_annotations,referenced_tweets,lang,id,text,public_metrics,in_reply_to_user_id,attachments
195,False,955543129280593920,Twitter for Android,"{'annotations': [{'start': 86, 'end': 90, 'probability': 0.8963, 'type': 'Person', 'normalized_text': 'Pence'}, {'start': 210, 'end': 214, 'probability': 0.9993, 'type': 'Person', 'normalized_text': 'Trump'}], 'urls': [{'start': 269, 'end': 292, 'url': 'https://t.co/jIETb0xSMw', 'expanded_url': 'https://twitter.com/AP/status/955485839949213696', 'display_url': 'twitter.com/AP/status/9554…'}]}",2018-01-22T20:50:09.000Z,16970219,{'place_id': '3ad0f706b3fa62a8'},everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10045247245', 'name': 'Mike Pence', 'description': 'US Vice President Mike Pence'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10045247245', 'name': 'Mike Pence', 'description': 'US Vice President Mike Pence'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]","[{'type': 'quoted', 'id': '955485839949213696'}]",en,955543129280593920,"Just like the other 15 or so women accusing the pussy grabber of sexual harassment? 

Pence must be either incredibly gullible or a pathetic liar.

Isn't about time he sat down with a journalist and talk about Trump's presidency? Maybe that would sort out which he is. https://t.co/jIETb0xSMw","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,
196,False,954981317535395840,Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Jennybee354', 'id': '2586744373'}]}",2018-01-21T17:35:53.000Z,839647570997604353,{'place_id': 'a409256339a7c6a1'},everyone,,"[{'type': 'replied_to', 'id': '954981317535395840'}]",en,955131852859236352,"@Jennybee354 idk the people i was with and the women around me as well as myself are all very aware of this political climate and walked for an array of things whether it be to stop sexual harassment in the work place, close the pay gap, encourage female politicians to run, we were all aware","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2586744373,
197,False,948602563116625920,Twitter for Android,"{'mentions': [{'start': 0, 'end': 12, 'username': 'seanhannity', 'id': '41634520'}, {'start': 56, 'end': 64, 'username': 'FoxNews', 'id': '1367531'}]}",2018-01-03T17:36:58.000Z,44772299,{'place_id': '3ad0f706b3fa62a8'},everyone,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000491577', 'name': 'Hannity'}}]","[{'type': 'replied_to', 'id': '948602563116625920'}]",en,948609140905029632,@seanhannity still better than anything on your show or @FoxNews the sexual harassment network,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",41634520,
198,False,941169151141433344,Twitter for Android,"{'annotations': [{'start': 102, 'end': 106, 'probability': 0.9977, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'thehill', 'id': '1917731'}]}",2017-12-14T04:57:33.000Z,16970219,{'place_id': '3ad0f706b3fa62a8'},everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]","[{'type': 'replied_to', 'id': '941169151141433344'}]",en,941170272257765377,@thehill Impossible. She'd have a sexual harassment story to tell if she'd been in close proximity to Trump a few times.,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1917731,
199,False,938909244274884608,erased12392952,"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/GEVdw0Kbnv', 'expanded_url': 'http://tinyurl.com/y9q3jx86', 'display_url': 'tinyurl.com/y9q3jx86'}], 'hashtags': [{'start': 87, 'end': 92, 'tag': 'tech'}, {'start': 93, 'end': 102, 'tag': 'business'}]}",2017-12-07T23:13:02.000Z,27188836,"{'coordinates': {'type': 'Point', 'coordinates': [-122.161944, 37.427621]}, 'place_id': 'ed0a823456907b4c'}",everyone,,,en,938909244274884608,Accused VC Sends Same Sorry Sexual Harassment Email to Critics https://t.co/GEVdw0Kbnv #tech #business,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,
200,False,937419155522727936,Twitter for iPhone,"{'urls': [{'start': 223, 'end': 246, 'url': 'https://t.co/HTX5DKZ2r2', 'expanded_url': 'https://www.projectcallisto.org/work-with-us', 'display_url': 'projectcallisto.org/work-with-us'}], 'mentions': [{'start': 211, 'end': 220, 'username': 'callisto', 'id': '852993698'}]}",2017-12-03T20:31:57.000Z,50986270,{'place_id': '3ad0f706b3fa62a8'},everyone,,,en,937419155522727936,"This startup is empowering victims of sexual harassment &amp; assault. 

Callisto is hiring. For key positions like COO, Development Director, Senior Engineer. 

Know someone amazing? Are you amazing? Check out @callisto 

https://t.co/HTX5DKZ2r2","{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,
201,False,936071030346465280,Twitter for Android,"{'annotations': [{'start': 7, 'end': 24, 'probability': 0.8267, 'type': 'Organization', 'normalized_text': 'Federal Government'}, {'start': 52, 'end': 56, 'probability': 0.9986, 'type': 'Person', 'normalized_text': 'Trump'}]}",2017-11-30T03:14:59.000Z,16970219,{'place_id': '3ad0f706b3fa62a8'},everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]",,en,936071030346465280,"If the Federal Government were run like a business, Trump would have to be terminated to protect the organization against his many alleged acts of sexual harassment.","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,
202,False,933158425063669760,Twitter for iPhone,"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/tesD4Jkefk', 'expanded_url': 'https://twitter.com/AshleyAFerrell/status/933158425063669760/photo/1', 'display_url': 'pic.twitter.com/tesD4Jkefk'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'kron4news', 'id': '19031057'}]}",2017-11-22T02:21:20.000Z,437629196,{'place_id': 'b9da7881046990df'},everyone,,,en,933158425063669760,@kron4news Isn’t someone missing from your sexual harassment infographic? https://t.co/tesD4Jkefk,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",19031057,{'media_keys': ['3_933158417518149633']}
203,False,931223960611520512,Twitter for iPhone,"{'urls': [{'start': 151, 'end': 174, 'url': 'https://t.co/lZ6pMEf3ND', 'expanded_url': 'https://www.indiegogo.com/projects/immersive-education-to-stop-sexual-harassment-film-technology#/', 'display_url': 'indiegogo.com/projects/immer…'}], 'hashtags': [{'start': 175, 'end': 187, 'tag': 'WomenInTech'}, {'start': 188, 'end': 191, 'tag': 'VR'}]}",2017-11-16T18:14:28.000Z,3220089740,{'place_id': '3ad0f706b3fa62a8'},everyone,,,en,931223960611520512,Want to support women? FUND THEIR PROJECTS. Vantage Point is a VR application aimed at addressing sexual assault. This could change lives. Support it: https://t.co/lZ6pMEf3ND #WomenInTech #VR,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",,
204,False,929947762178719745,Twitter for Android,"{'annotations': [{'start': 18, 'end': 23, 'probability': 0.5805, 'type': 'Person', 'normalized_text': 'Claire'}], 'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/ve0bcPAL2Z', 'expanded_url': 'https://www.vox.com/culture/2017/11/12/16639152/snl-sexual-harassment-claire-from-hr-cecily-strong', 'display_url': 'vox.com/culture/2017/1…'}], 'mentions': [{'start': 6, 'end': 16, 'username': 'SNLUpdate', 'id': '71597660'}]}",2017-11-13T05:43:18.000Z,1880327480,{'place_id': '490bdb082950484f'},everyone,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000621827', 'name': 'Saturday Night Live', 'description': ""Saturday Night Live is NBC's Emmy Award-winning late-night comedy showcase, now in its 47th season.\n\n""}}]",,en,929947762178719745,"THIS! @SNLUpdate ""Claire from HR"" https://t.co/ve0bcPAL2Z","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,
