,lang,conversation_id,entities,created_at,id,reply_settings,public_metrics,author_id,possibly_sensitive,referenced_tweets,geo,text,source,in_reply_to_user_id,context_annotations,attachments
59,en,1443918732464635906,"{'urls': [{'start': 162, 'end': 185, 'url': 'https://t.co/zY4EUzRO3j', 'expanded_url': 'https://twitter.com/CCChatMagazine/status/1443914428815130627', 'display_url': 'twitter.com/CCChatMagazine…'}], 'hashtags': [{'start': 0, 'end': 5, 'tag': 'THIS'}, {'start': 59, 'end': 66, 'tag': 'victim'}, {'start': 122, 'end': 142, 'tag': 'WakeTheHellUpPeople'}, {'start': 144, 'end': 161, 'tag': 'DomesticViolence'}]}",2021-10-01T12:40:27.000Z,1443918732464635906,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2463461936,False,"[{'type': 'quoted', 'id': '1443914428815130627'}]",{'place_id': '8e9665cec9370f0f'},"#THIS happens all the time in domestic violence cases.
The #victim is often the one blamed, just like in most rape cases!
#WakeTheHellUpPeople 
#DomesticViolence https://t.co/zY4EUzRO3j",Twitter for Android,,,
60,en,1440847881443835905,"{'annotations': [{'start': 73, 'end': 76, 'probability': 0.6063, 'type': 'Organization', 'normalized_text': 'CUNE'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'CentauriDot', 'id': '951626888887316480'}, {'start': 13, 'end': 29, 'username': 'lilywritesstuff', 'id': '829538819594715136'}, {'start': 30, 'end': 44, 'username': 'WordsSeasoned', 'id': '1383153735313072134'}, {'start': 45, 'end': 59, 'username': 'PlumCreekFest', 'id': '804878448'}]}",2021-09-26T03:04:54.000Z,1441961951676952579,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",17464261,False,"[{'type': 'replied_to', 'id': '1441956599984115719'}]",{'place_id': '60e2c37980197297'},@CentauriDot @lilywritesstuff @WordsSeasoned @PlumCreekFest The issue is CUNE’s homophobic policy. The mechanism by which it was discovered is not important. The festival was cancelled because CUNE literally puts the “homosexual lifestyle” in the same category—the same sentence—with rape and sexual abuse. It’s really that simple.,Twitter for iPhone,951626888887316480,,
61,en,1441849653981368320,"{'mentions': [{'start': 18, 'end': 22, 'username': 'GOP', 'id': '11134252'}], 'hashtags': [{'start': 23, 'end': 45, 'tag': 'evangelicalchristians'}, {'start': 46, 'end': 56, 'tag': 'TrumpCult'}, {'start': 65, 'end': 82, 'tag': 'insurrectionists'}, {'start': 93, 'end': 110, 'tag': 'RapistsAdvocates'}, {'start': 181, 'end': 186, 'tag': 'Rape'}]}",2021-09-25T19:38:40.000Z,1441849653981368320,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",39317273,False,,{'place_id': '60e2c37980197297'},Who knew that the @gop #evangelicalchristians #TrumpCult and the #insurrectionists all we're #RapistsAdvocates? Wow! You learn something new everyday. Take away a woman's choice is #Rape,Twitter for iPhone,,,
62,en,1440516719919783939,"{'mentions': [{'start': 0, 'end': 15, 'username': 'DeniseKFleming', 'id': '42330644'}, {'start': 16, 'end': 31, 'username': 'TraceyBaptiste', 'id': '26814430'}, {'start': 32, 'end': 44, 'username': 'Bartography', 'id': '90697018'}]}",2021-09-23T21:42:59.000Z,1441156162280300555,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",17464261,False,"[{'type': 'replied_to', 'id': '1441096569583915014'}]",{'place_id': '60e2c37980197297'},"@DeniseKFleming @TraceyBaptiste @Bartography Whether a child *feels* safe is not really the issue. Adults understand that an LGBTQIA kid is not safe in a place governed by people capable of equating a “homosexual lifestyle” with “sexual abuse, sexual assault, rape, incest, sexual exploitation, sexual harassment.”",Twitter for iPhone,42330644,,
63,en,1440847881443835905,"{'mentions': [{'start': 0, 'end': 14, 'username': 'PlumCreekFest', 'id': '804878448'}]}",2021-09-23T11:00:18.000Z,1440994427762262019,everyone,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 231, 'quote_count': 1}",17464261,False,"[{'type': 'replied_to', 'id': '1440847881443835905'}]",{'place_id': '60e2c37980197297'},"@PlumCreekFest In any group of “thousands of children,” some number will be LGBTQIA. Feel any compulsion to apologize to them for bringing them onto a campus that groups “a homosexual lifestyle” with “sexual abuse, sexual assault, rape, incest, sexual exploitation, sexual harassment”?",Twitter for iPhone,804878448,,
64,en,1437524041674395650,"{'annotations': [{'start': 68, 'end': 72, 'probability': 0.8334, 'type': 'Person', 'normalized_text': 'Ricky'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'Is_just_Ricky', 'id': '1019346361'}, {'start': 15, 'end': 31, 'username': 'SallyDraper1968', 'id': '1238852479699185665'}, {'start': 32, 'end': 44, 'username': 'TomStDenis2', 'id': '1385288779712323595'}, {'start': 45, 'end': 53, 'username': 'Pminn76', 'id': '385787825'}, {'start': 54, 'end': 67, 'username': 'Scribulatora', 'id': '896126557'}]}",2021-09-15T22:06:37.000Z,1438263008921333760,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3034713330,False,"[{'type': 'replied_to', 'id': '1438165286427967488'}]",{'place_id': '60e2c37980197297'},"@Is_just_Ricky @SallyDraper1968 @TomStDenis2 @Pminn76 @Scribulatora Ricky, you’re living a life of ignorance if you believe that. More often than not, rapes go unreported. I find it impossible to believe ANY country is rape free.",Twitter for iPhone,1019346361,,
65,en,1435424588729626624,"{'mentions': [{'start': 0, 'end': 9, 'username': 'megs0328', 'id': '474591816'}]}",2021-09-08T23:55:52.000Z,1435753788481101828,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",748768972590374912,False,"[{'type': 'replied_to', 'id': '1435424588729626624'}]",{'place_id': '8e9665cec9370f0f'},"@megs0328 *stop investigating and prosecuting rape

There I fixed it.",Twitter for Android,474591816,,
66,en,1435682850058158082,"{'mentions': [{'start': 0, 'end': 12, 'username': 'RTKapproved', 'id': '172604420'}]}",2021-09-08T21:41:24.000Z,1435719945497849858,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1219022868027183105,False,"[{'type': 'replied_to', 'id': '1435700785673908225'}]",{'place_id': '60e2c37980197297'},@RTKapproved Mad rape allegations.. his text messages ain’t helping it either ..,Twitter for iPhone,172604420,,
67,en,1435383438685589505,"{'mentions': [{'start': 0, 'end': 16, 'username': 'briantylercohen', 'id': '455684839'}]}",2021-09-08T08:12:17.000Z,1435516327725309956,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1267824673024163841,False,"[{'type': 'replied_to', 'id': '1435383438685589505'}]",{'place_id': '8e9665cec9370f0f'},"@briantylercohen Because it's NOT a possibility. Pretty sure you can't stop a crime before it happens, unless you got some kind of kick azz anti rape psychic! That'd be really cool. In that case get all those criminals and lock them up. Oh wait they didn't commit a crime yet, good luck in court!",Twitter for Android,455684839,,
68,en,1435365089817755651,"{'annotations': [{'start': 18, 'end': 27, 'probability': 0.6115, 'type': 'Organization', 'normalized_text': 'Republican'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'ByronTau', 'id': '16125224'}]}",2021-09-08T02:24:17.000Z,1435428747935629312,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",14433103,False,"[{'type': 'replied_to', 'id': '1435365089817755651'}]",{'place_id': '60e2c37980197297'},@ByronTau And the Republican nominee had an active rape case against him. Fucking crickets from the press on that one.,Twitter for Android,16125224,,
