,text,geo,id,public_metrics,author_id,conversation_id,lang,possibly_sensitive,source,created_at,reply_settings,entities,attachments,context_annotations,referenced_tweets,in_reply_to_user_id
186,@KILLDizzle Still can’t blame hip hop for rape culture.,{'place_id': 'f3f3e88ab848b86b'},1000753410788986880,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4402751181,1000752081786073088,en,False,Twitter for iPhone,2018-05-27T14:59:40.000Z,everyone,"{'mentions': [{'start': 0, 'end': 11, 'username': 'KILLDizzle', 'id': '298811326'}]}",,"[{'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}]","[{'type': 'replied_to', 'id': '1000752081786073088'}]",298811326
187,That’s rape https://t.co/GzaONd8o20,{'place_id': '69d9a5e713c9cba5'},999329542190895105,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2686393772,999329542190895105,en,False,Twitter for iPhone,2018-05-23T16:41:44.000Z,everyone,"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/GzaONd8o20', 'expanded_url': 'https://twitter.com/_akyssej/status/998343057006317574', 'display_url': 'twitter.com/_akyssej/statu…'}]}",,,,
188,@2guard_ Bruhhhhh everyone knew Bryce rape shawdy she was mad embarrass,{'place_id': 'e4c17912c815124d'},998694836231397381,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",180969884,998522488442228737,en,False,Twitter for iPhone,2018-05-21T22:39:38.000Z,everyone,"{'mentions': [{'start': 0, 'end': 8, 'username': '2guard_', 'id': '790198538848366592'}], 'annotations': [{'start': 32, 'end': 36, 'probability': 0.9943, 'type': 'Person', 'normalized_text': 'Bryce'}]}",,,"[{'type': 'replied_to', 'id': '998693174850801665'}]",790198538848366592
189,Suicide bullying rape - tape recording . https://t.co/AqMGl3k6hD,{'place_id': 'f3f3e88ab848b86b'},998040139673800704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",22945398,998040139673800704,en,False,Twitter for iPhone,2018-05-20T03:18:06.000Z,everyone,"{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/AqMGl3k6hD', 'expanded_url': 'https://twitter.com/_jaytovah/status/998034976263344129', 'display_url': 'twitter.com/_jaytovah/stat…'}]}",,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10048975805', 'name': '13 Reasons Why (Netflix)'}}]",,
190,Y’all niggas that wanna get mainstream y’all make these lil groupies sign waivers saying they can’t claim rape,{'place_id': 'f3f3e88ab848b86b'},989586296522854400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",189048721,989586296522854400,en,False,Twitter for iPhone,2018-04-26T19:25:33.000Z,everyone,,,,,
191,"When manmade constructs of religion become instrumental against https://t.co/3pAzywpvb5 both religions women are given status of goddess and pure souls,yet they are the ones being withheld of justice after being subjected to such monstrosity #KathuaHorror  https://t.co/5njNBmFbm6",{'place_id': 'e4c17912c815124d'},984540651302813697,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",703974228874416128,984540651302813697,en,False,Twitter for iPhone,2018-04-12T21:15:57.000Z,everyone,"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/3pAzywpvb5', 'expanded_url': 'http://humanity.In', 'display_url': 'humanity.In'}, {'start': 257, 'end': 280, 'url': 'https://t.co/5njNBmFbm6', 'expanded_url': 'https://www.washingtonpost.com/world/asia_pacific/childs-rape-murder-in-india-mired-in-religious-politics/2018/04/12/30f8956a-3e1d-11e8-955b-7d2e19b79966_story.html?utm_term=.8c2c8b8fa155', 'display_url': 'washingtonpost.com/world/asia_pac…'}], 'hashtags': [{'start': 242, 'end': 255, 'tag': 'KathuaHorror'}]}",,,,
192,As a person that works with rape and domestic violence victims I have seen the effects it can have on a person. So a person that would easily defend an accuser without knowing anything about the case disturbs me.,{'place_id': 'e4c17912c815124d'},978630387843915776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",349770310,978630387843915776,en,False,Twitter for iPhone,2018-03-27T13:50:41.000Z,everyone,,,,,
193,Rape is something that I take extremely seriously and I am disturbed at the fact that guys so easily defend other men that have been accused of rape,{'place_id': 'e4c17912c815124d'},978629820866334720,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 55, 'quote_count': 2}",349770310,978629820866334720,en,False,Twitter for iPhone,2018-03-27T13:48:26.000Z,everyone,,,,,
194,Presenting a paper on Clarissa’s rape; should I include a trigger warning at the start of the paper?,{'place_id': 'e4c17912c815124d'},974338925106999296,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",144206572,974338925106999296,en,False,Twitter for iPhone,2018-03-15T17:37:56.000Z,everyone,"{'annotations': [{'start': 22, 'end': 29, 'probability': 0.8672, 'type': 'Person', 'normalized_text': 'Clarissa'}]}",,,,
195,Rape culture is saying the victim is to blame for putting themselves in a vulnerable position.,{'place_id': 'e4c17912c815124d'},974100800711643137,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",33073422,974100800711643137,en,False,Twitter for iPhone,2018-03-15T01:51:43.000Z,everyone,,,,,
196,Kobe believed that the sex was consensual &amp; he admitted to understanding why the victim didn’t believe it was. That’s rape. Yooooo I’m shocked.,{'place_id': 'bf9b9d49defeea89'},970645559894781952,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",190860220,970645557717995521,en,False,Twitter for iPhone,2018-03-05T13:01:49.000Z,everyone,"{'annotations': [{'start': 0, 'end': 3, 'probability': 0.9824, 'type': 'Person', 'normalized_text': 'Kobe'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809497120285696001', 'name': 'Kobe Bryant', 'description': 'Kobe Bryant'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '809497120285696001', 'name': 'Kobe Bryant', 'description': 'Kobe Bryant'}}]","[{'type': 'replied_to', 'id': '970645557717995521'}]",190860220
197,So i just reread the apology that Kobe wrote related to his 2003 rape “allegation” &amp; he literally admitted to raping her. Yo wtf.,{'place_id': 'bf9b9d49defeea89'},970645557717995521,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 1, 'quote_count': 1}",190860220,970645557717995521,en,False,Twitter for iPhone,2018-03-05T13:01:49.000Z,everyone,"{'annotations': [{'start': 34, 'end': 37, 'probability': 0.9827, 'type': 'Person', 'normalized_text': 'Kobe'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809497120285696001', 'name': 'Kobe Bryant', 'description': 'Kobe Bryant'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '809497120285696001', 'name': 'Kobe Bryant', 'description': 'Kobe Bryant'}}]",,
198,"""This is vegetarian rape."" - @pisforphinessse",{'place_id': 'e4c17912c815124d'},966788347489382402,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",401736837,966788347489382402,en,False,Twitter for Android,2018-02-22T21:34:38.000Z,everyone,,,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '825047692124442624', 'name': 'Food', 'description': 'Food'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '860133563332648963', 'name': 'Cuisines', 'description': 'Cuisines'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '860147410856665088', 'name': 'Vegetarianism', 'description': 'Vegetarian'}}]",,
199,@1Republic14Star @liberalgramma Actually it's a rape/murder culture that glorifies mass murder of Innocents worldwide through War and these young ppl are a product,{'place_id': 'f3f3e88ab848b86b'},964155175572312065,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",45491204,964151409536131073,en,False,Twitter for Android,2018-02-15T15:11:21.000Z,everyone,"{'mentions': [{'start': 0, 'end': 16, 'username': '1Republic14Star', 'id': '799997149576622080'}, {'start': 17, 'end': 31, 'username': 'liberalgramma', 'id': '842365323936444416'}]}",,,"[{'type': 'replied_to', 'id': '964151409536131073'}]",799997149576622080
200,rape. https://t.co/wVftP2QAEx,{'place_id': 'e4c17912c815124d'},961739225799581696,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",338765483,961739225799581696,en,False,Twitter for iPhone,2018-02-08T23:11:14.000Z,everyone,"{'urls': [{'start': 6, 'end': 29, 'url': 'https://t.co/wVftP2QAEx', 'expanded_url': 'https://twitter.com/misskorim/status/961101534888189952', 'display_url': 'twitter.com/misskorim/stat…'}]}",,,,
201,"@the_mavs_fan Interestingly enough, if a man were to rape a man then the courts could recognize that injustice a lot more.",{'place_id': 'f3f3e88ab848b86b'},958694625740492800,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2561500970,958692159359799296,en,False,Twitter for iPhone,2018-01-31T13:33:05.000Z,everyone,"{'mentions': [{'start': 0, 'end': 13, 'username': 'the_mavs_fan', 'id': '301207899'}]}",,,"[{'type': 'replied_to', 'id': '958694019428749313'}]",2561500970
202,"This is the greatest thing about the ME TOO, bringing justice to the world of organized rape and sex trafficking https://t.co/9Ze8jPHJuM",{'place_id': 'bf9b9d49defeea89'},956692886220951552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",45491204,956692886220951552,en,False,Twitter for Android,2018-01-26T00:58:53.000Z,everyone,"{'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/9Ze8jPHJuM', 'expanded_url': 'https://m.huffpost.com/us/entry/us_5a690ef6e4b0e563007627aa', 'display_url': 'm.huffpost.com/us/entry/us_5a…'}]}",,,,
203,Thas rape https://t.co/cgfGoJhbfs,{'place_id': '062402b4c803a13b'},955478934644297729,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",66704523,955478934644297729,en,False,Twitter for iPhone,2018-01-22T16:35:04.000Z,everyone,"{'urls': [{'start': 10, 'end': 33, 'url': 'https://t.co/cgfGoJhbfs', 'expanded_url': 'https://twitter.com/bniceloco/status/955349113469620224', 'display_url': 'twitter.com/bniceloco/stat…'}]}",,,"[{'type': 'quoted', 'id': '955349113469620224'}]",
204,"@RyanAFournier Sexual assault and rape laws are wrong, need improving so ppl like Trump can't get away with it, how can you be pro life if you think it's okay to rape children, how can you be President",{'place_id': 'bf9b9d49defeea89'},954867589364281344,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",45491204,954420648096555008,en,False,Twitter for Android,2018-01-21T00:05:48.000Z,everyone,"{'annotations': [{'start': 82, 'end': 86, 'probability': 0.999, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'RyanAFournier', 'id': '166751745'}]}",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]","[{'type': 'replied_to', 'id': '954420648096555008'}]",166751745
