,Unnamed: 0,public_metrics,source,entities,text,conversation_id,author_id,geo,lang,created_at,in_reply_to_user_id,id,referenced_tweets,reply_settings,possibly_sensitive,attachments,context_annotations,location,likes,retweets,replies,quotes
1095,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPad,"{'annotations': [{'start': 38, 'end': 43, 'probability': 0.8108, 'type': 'Person', 'normalized_text': 'Warner'}, {'start': 59, 'end': 62, 'probability': 0.9783, 'type': 'Person', 'normalized_text': 'Lucy'}, {'start': 155, 'end': 159, 'probability': 0.9942, 'type': 'Person', 'normalized_text': 'Biden'}]}","Ok, Sexual Assault Investigator here! Warner just lost me ""Lucy has to be believed"". My read is that women were touched! So? Did you object at the time w/ Biden standing right there? No? Why not? You didn't think he would fire you if you objected, did you? I seriously doubt it.",1112924987239944192,395700994,{'place_id': '756059b9675acdae'},en,04/02/2019,,1112924987239944192,,everyone,False,,,Wisconsin,2,0,0,0
1096,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,"{'annotations': [{'start': 38, 'end': 43, 'probability': 0.9246, 'type': 'Place', 'normalized_text': 'Nevada'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'krassenstein', 'id': '133938408'}]}",@krassenstein I thought so too.  This Nevada woman needs to lighten up cuz a kiss on the back of the head is NOT sexual assault.,1112320902367244289,477382009,{'place_id': '004e2b299a1fb473'},en,03/31/2019,133938408.0,1112438468536340480,"[{'type': 'replied_to', 'id': '1112320902367244289'}]",everyone,False,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1061017390824079360', 'name': 'Brian Krassenstein', 'description': 'Brian Krassenstein'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '1061017390824079360', 'name': 'Brian Krassenstein', 'description': 'Brian Krassenstein'}}]",Wisconsin,0,0,0,0
1097,27,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'urls': [{'start': 202, 'end': 225, 'url': 'https://t.co/6FLAtdIUAK', 'expanded_url': 'https://twitter.com/RAINN/status/1075103416127492096', 'display_url': 'twitter.com/RAINN/status/1…'}], 'hashtags': [{'start': 188, 'end': 201, 'tag': 'NotYourFault'}], 'mentions': [{'start': 153, 'end': 159, 'username': 'RAINN', 'id': '18677951'}]}","Always remember your not alone. There are people to talk and help you 24-7 no matter what's causing you pain.  As a survivor of military sexual assault, @RAINN is an amazing organization. #NotYourFault https://t.co/6FLAtdIUAK",1075107273389891584,2214273559,{'place_id': '078d435993ff02ed'},en,12/18/2018,,1075107273389891584,"[{'type': 'quoted', 'id': '1075103416127492096'}]",everyone,False,,,Wisconsin,0,0,0,0
1098,28,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/wCZ74hsL57', 'expanded_url': 'https://twitter.com/Jack_Burkman/status/1057304918745333760', 'display_url': 'twitter.com/Jack_Burkman/s…'}]}",So now the right is using false sexual assault allegations to discredit the liberal media and Meuller 🤨🤨🤨 https://t.co/wCZ74hsL57,1057401154974420992,292614193,{'place_id': '004e2b299a1fb473'},en,10/30/2018,,1057401154974420992,,everyone,False,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '874624885485477888', 'name': 'Robert Mueller', 'description': 'Robert Swan Mueller III is an American attorney who served as the sixth Director of the Federal Bureau of Investigation from 2001 to 2013.'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157181954', 'name': 'Hospitality'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596664692736', 'name': 'Hotel/Motel'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026483119', 'name': 'Holiday Inn'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864938653063159808', 'name': 'Hospitality', 'description': 'Hospitality'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '864939492947275776', 'name': 'Hotel/Motel', 'description': 'Hotel/Motel'}}]",Wisconsin,0,0,0,0
1099,29,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone,"{'annotations': [{'start': 0, 'end': 14, 'probability': 0.3133, 'type': 'Organization', 'normalized_text': 'Quintez Cepheus'}], 'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/Gi2u0HQCxD', 'expanded_url': 'https://twitter.com/Area_Photog/status/1050385115942141952/photo/1', 'display_url': 'pic.twitter.com/Gi2u0HQCxD'}], 'hashtags': [{'start': 101, 'end': 107, 'tag': 'news3'}]}",Quintez Cepheus entered a plea of not guilty to sexual assault charges. Has 30 days to file motions. #news3 https://t.co/Gi2u0HQCxD,1050385115942141952,303776756,{'place_id': '07d9d2a74f080000'},en,10/11/2018,,1050385115942141952,,everyone,False,{'media_keys': ['3_1050385068949032960']},,Wisconsin,3,2,1,0
1100,30,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,"{'annotations': [{'start': 61, 'end': 65, 'probability': 0.9993, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 75, 'end': 77, 'probability': 0.9297, 'type': 'Organization', 'normalized_text': 'GOP'}]}","For someone who constantly whines about things being rigged, Trump and the GOP sure did a number on this investigation to get what they wanted. Not that I doubted they'd force their guy through in the end no matter what came out. Now he's mocking a sexual assault victim. Gross.",1047746304624001024,118934371,{'place_id': '756059b9675acdae'},en,10/04/2018,,1047746304624001024,,everyone,False,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]",Wisconsin,0,0,0,0
1101,31,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/zQ0VqBW8wj', 'expanded_url': 'https://twitter.com/NBCNews/status/1047495277723176960', 'display_url': 'twitter.com/NBCNews/status…'}]}","“These people”

He’s taking about sexual assault survivors... https://t.co/zQ0VqBW8wj",1047630403488690177,249375123,{'place_id': '004e2b299a1fb473'},en,10/03/2018,,1047630403488690177,"[{'type': 'quoted', 'id': '1047495277723176960'}]",everyone,False,,"[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '888193957263400964', 'name': 'Mitch McConnell', 'description': 'US Senator Mitch McConnell (KY)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '888193957263400964', 'name': 'Mitch McConnell', 'description': 'US Senator Mitch McConnell (KY)'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '877326946253684737', 'name': 'United States Senate', 'description': 'United States Senate'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}]",Wisconsin,0,0,0,0
1102,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'annotations': [{'start': 258, 'end': 271, 'probability': 0.9585, 'type': 'Person', 'normalized_text': 'Senator McCain'}], 'mentions': [{'start': 12, 'end': 22, 'username': 'JeffFlake', 'id': '16056306'}]}",Message for @JeffFlake from am man. It’s easy to make easy decision. But your true self comes out when you have to make the best decision in the best interest of the country and those without power like sexual assault victims. You didn’t learn anything from Senator McCain.,1045698914018631680,941807955086905344,{'place_id': '004e2b299a1fb473'},en,09/28/2018,,1045698914018631680,,everyone,False,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '877698272495755264', 'name': 'Jeff Flake', 'description': 'US Senator Jeff Flake (AZ)'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '890701499285651456', 'name': 'John McCain', 'description': 'US Senator John McCain (AZ)\n'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '877698272495755264', 'name': 'Jeff Flake', 'description': 'US Senator Jeff Flake (AZ)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '890701499285651456', 'name': 'John McCain', 'description': 'US Senator John McCain (AZ)\n'}}]",Wisconsin,0,0,0,0
1103,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'annotations': [{'start': 0, 'end': 10, 'probability': 0.5919, 'type': 'Organization', 'normalized_text': 'Republicans'}, {'start': 23, 'end': 31, 'probability': 0.896, 'type': 'Person', 'normalized_text': 'Kavanaugh'}, {'start': 70, 'end': 74, 'probability': 0.9998, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 113, 'end': 123, 'probability': 0.6659, 'type': 'Organization', 'normalized_text': 'Republicans'}], 'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/bio9UgJyrr', 'expanded_url': 'https://www.vox.com/policy-and-politics/2018/9/17/17869978/kavanaugh-trump-sexual-assault', 'display_url': 'vox.com/policy-and-pol…'}], 'hashtags': [{'start': 167, 'end': 187, 'tag': 'VoteBlueNoMatterWho'}]}",Republicans can’t hold Kavanaugh or anyone else accountable — because Trump is president https://t.co/bio9UgJyrr Republicans need to go!  Remember that on November 6. #VoteBlueNoMatterWho,1042468143984242689,131221380,{'place_id': '004e2b299a1fb473'},en,09/19/2018,,1042468143984242689,,everyone,False,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1016678775298260992', 'name': 'Brett Kavanaugh', 'description': 'US Supreme Court nominee Brett Kavanaugh'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1016678775298260992', 'name': 'Brett Kavanaugh', 'description': 'US Supreme Court nominee Brett Kavanaugh'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]",Wisconsin,0,0,0,0
1104,34,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 15, 'username': 'PodSaveAmerica', 'id': '816869611480186880'}, {'start': 100, 'end': 108, 'username': 'jonfavs', 'id': '130496027'}]}",@PodSaveAmerica There should be a content/trigger warning for the beginning of today’s episode when @jonfavs describes the sexual assault. Some of us were trying very hard to not know the details for a reason.,1041952042707824640,187790839,{'place_id': '004e2b299a1fb473'},en,09/18/2018,8.168696114801869e+17,1041952042707824640,,everyone,False,,,Wisconsin,2,1,1,0
