,location,date,tweet_count,article_count
222,IUB,02/06/2020,0,0
223,IUB,02/04/2020,0,0
224,IUB,01/27/2020,0,0
225,IUB,01/20/2020,0,0
226,IUB,01/18/2020,0,0
227,IUB,01/17/2020,0,0
228,IUB,12/25/2019,0,0
229,IUB,12/22/2019,0,0
230,IUB,12/11/2019,0,1
231,IUB,11/19/2019,0,0
232,IUB,11/12/2019,0,0
233,IUB,11/07/2019,0,0
234,IUB,10/29/2019,0,0
235,IUB,10/26/2019,0,0
236,IUB,10/11/2019,0,0
237,IUB,10/09/2019,0,0
238,IUB,10/05/2019,0,0
239,IUB,10/04/2019,0,0
240,IUB,10/02/2019,0,0
241,IUB,09/26/2019,0,0
242,IUB,09/23/2019,0,0
243,IUB,09/22/2019,0,0
244,IUB,09/17/2019,0,0
245,IUB,09/03/2019,0,0
246,IUB,08/23/2019,0,0
247,IUB,08/21/2019,0,0
248,IUB,08/17/2019,0,0
249,IUB,08/14/2019,0,0
250,IUB,08/10/2019,0,0
251,IUB,08/03/2019,0,0
252,IUB,07/19/2019,0,0
253,IUB,07/18/2019,0,0
254,IUB,07/06/2019,0,0
255,IUB,07/02/2019,0,0
256,IUB,06/25/2019,0,0
257,IUB,06/22/2019,0,0
258,IUB,06/20/2019,0,0
259,IUB,06/19/2019,0,0
260,IUB,06/18/2019,0,0
261,IUB,05/23/2019,0,0
262,IUB,05/16/2019,0,0
263,IUB,05/14/2019,0,0
264,IUB,05/08/2019,0,0
265,IUB,05/04/2019,0,0
266,IUB,04/22/2019,0,0
267,IUB,04/16/2019,0,0
268,IUB,04/11/2019,0,0
269,IUB,04/09/2019,0,0
270,IUB,04/07/2019,0,0
271,IUB,04/02/2019,0,0
272,IUB,03/27/2019,0,0
273,IUB,03/21/2019,0,0
274,IUB,03/19/2019,0,0
275,IUB,03/11/2019,0,0
276,IUB,03/01/2019,0,0
277,IUB,02/28/2019,0,0
278,IUB,02/22/2019,0,0
279,IUB,01/31/2019,0,0
280,IUB,01/21/2019,0,0
281,IUB,01/17/2019,0,0
282,IUB,01/10/2019,0,0
283,IUB,01/06/2019,0,0
284,IUB,01/04/2019,0,0
285,IUB,12/27/2018,0,0
286,IUB,12/14/2018,0,0
287,IUB,12/12/2018,0,0
288,IUB,12/07/2018,0,0
289,IUB,12/06/2018,0,0
290,IUB,11/01/2018,0,0
291,IUB,10/24/2018,0,2
292,IUB,10/19/2018,0,1
293,IUB,10/17/2018,0,0
294,IUB,10/16/2018,0,1
295,IUB,10/07/2018,0,0
296,IUB,10/05/2018,0,0
297,IUB,10/04/2018,0,0
298,IUB,10/02/2018,0,0
299,IUB,09/29/2018,0,0
300,IUB,09/28/2018,0,0
301,IUB,09/27/2018,0,0
302,IUB,09/26/2018,0,0
303,IUB,09/24/2018,0,0
304,IUB,09/23/2018,0,0
305,IUB,09/19/2018,0,0
306,IUB,09/18/2018,0,0
307,IUB,08/30/2018,0,0
308,IUB,08/15/2018,0,0
309,IUB,07/09/2018,0,0
310,IUB,07/03/2018,0,0
311,IUB,06/28/2018,0,0
312,IUB,06/19/2018,0,0
313,IUB,05/31/2018,0,0
314,IUB,05/29/2018,0,0
315,IUB,05/27/2018,0,0
316,IUB,05/23/2018,0,0
317,IUB,05/21/2018,0,0
318,IUB,05/20/2018,0,0
319,IUB,04/26/2018,0,0
320,IUB,04/12/2018,0,0
321,IUB,03/27/2018,0,0
322,IUB,03/15/2018,0,0
323,IUB,03/05/2018,0,0
324,IUB,02/22/2018,0,0
325,IUB,02/15/2018,0,0
326,IUB,02/08/2018,0,0
327,IUB,01/31/2018,0,0
328,IUB,01/26/2018,0,0
329,IUB,01/22/2018,0,0
330,IUB,01/21/2018,0,0
331,IUB,01/06/2018,0,0
332,IUB,12/28/2017,0,0
333,IUB,12/16/2017,0,0
334,IUB,12/13/2017,0,1
335,IUB,12/12/2017,0,0
336,IUB,12/10/2017,0,0
337,IUB,12/06/2017,0,0
338,IUB,12/05/2017,0,0
339,IUB,11/30/2017,0,0
340,IUB,11/28/2017,0,3
341,IUB,11/27/2017,0,1
342,IUB,11/16/2017,0,1
343,IUB,11/11/2017,0,0
344,IUB,11/03/2017,0,0
345,IUB,10/28/2017,0,0
346,IUB,10/16/2017,0,1
347,IUB,10/15/2017,0,0
348,IUB,10/08/2017,0,0
349,IUB,10/06/2017,0,0
350,IUB,09/26/2017,0,0
351,IUB,09/24/2017,0,0
352,IUB,09/21/2017,0,0
353,IUB,08/31/2017,0,0
354,IUB,08/07/2017,0,0
355,IUB,08/05/2017,0,0
356,IUB,07/30/2017,0,0
357,IUB,06/24/2017,0,0
358,IUB,05/22/2017,0,0
359,IUB,05/06/2017,0,0
360,IUB,05/05/2017,0,0
361,IUB,05/03/2017,0,0
362,IUB,04/24/2017,0,0
363,IUB,04/11/2017,0,0
364,IUB,04/07/2017,0,0
365,IUB,04/04/2017,0,0
366,IUB,03/25/2017,0,0
367,IUB,02/25/2017,0,0
368,IUB,02/22/2017,0,0
369,IUB,02/09/2017,0,0
370,IUB,02/06/2017,0,0
371,IUB,01/26/2017,0,0
372,IUB,12/29/2016,0,0
373,IUB,12/22/2016,0,0
374,IUB,12/21/2016,0,0
375,IUB,12/16/2016,0,0
376,IUB,12/11/2016,0,2
377,IUB,11/16/2016,0,0
378,IUB,11/11/2016,0,0
379,IUB,11/09/2016,0,0
380,IUB,11/08/2016,0,0
381,IUB,10/31/2016,0,1
382,IUB,10/27/2016,0,3
383,IUB,10/24/2016,0,1
384,IUB,10/20/2016,0,1
385,IUB,10/15/2016,0,0
386,IUB,09/25/2016,0,0
387,IUB,09/24/2016,0,0
388,IUB,09/18/2016,0,0
389,IUB,09/15/2016,0,0
390,IUB,09/14/2016,0,0
391,IUB,09/09/2016,0,0
392,IUB,09/08/2016,0,0
393,IUB,09/04/2016,0,0
394,IUB,09/03/2016,0,0
395,IUB,09/02/2016,0,0
396,IUB,08/30/2016,0,0
397,IUB,08/16/2016,0,0
398,IUB,08/15/2016,0,0
399,IUB,08/12/2016,0,0
400,IUB,07/24/2021,0,0
401,IUB,10/04/2020,0,0
402,IUB,09/03/2020,0,0
403,IUB,08/08/2020,0,0
404,IUB,02/20/2020,0,0
405,IUB,10/18/2019,0,0
406,IUB,07/08/2019,0,0
407,IUB,05/13/2019,0,0
408,IUB,03/09/2019,0,0
409,IUB,01/28/2019,0,0
410,IUB,11/12/2021,0,1
411,IUB,10/29/2021,0,1
412,IUB,10/19/2021,0,0
413,IUB,10/15/2021,0,0
414,IUB,10/06/2021,0,0
415,IUB,09/23/2021,0,0
416,IUB,08/25/2021,0,0
417,IUB,08/11/2021,0,0
418,IUB,12/17/2021,0,0
419,IUB,12/15/2021,0,0
420,IUB,12/08/2021,0,0
421,IUB,12/05/2021,0,0
422,IUB,12/01/2021,0,0
423,IUB,11/27/2021,0,0
424,IUB,11/23/2021,0,0
425,IUB,11/22/2021,0,0
426,IUB,11/19/2021,0,1
427,IUB,11/17/2021,0,1
428,IUB,11/14/2021,0,0
429,IUB,11/11/2021,0,1
430,IUB,11/10/2021,0,0
431,IUB,11/03/2021,0,0
432,IUB,10/26/2021,0,0
433,IUB,10/22/2021,0,1
434,IUB,10/10/2021,0,1
435,IUB,10/01/2021,0,0
436,IUB,09/26/2021,0,0
437,IUB,09/25/2021,0,0
438,IUB,09/15/2021,0,0
439,IUB,09/08/2021,0,0
440,IUB,09/02/2021,0,0
441,IUB,08/31/2021,0,0
442,IUB,08/17/2021,0,0
443,IUB,08/15/2021,0,0
444,IUB,08/14/2021,0,0
445,IUB,08/13/2021,0,0
446,IUB,08/03/2021,0,0
447,IUB,07/29/2021,0,0
448,IUB,07/28/2021,0,0
449,IUB,07/27/2021,0,0
450,IUB,07/26/2021,0,0
451,IUB,07/02/2021,0,0
452,IUB,06/26/2021,0,0
453,IUB,06/23/2021,0,0
454,IUB,06/17/2021,0,0
455,IUB,06/16/2021,0,0
456,IUB,06/12/2021,0,0
457,IUB,06/10/2021,0,0
458,IUB,06/07/2021,0,0
459,IUB,06/03/2021,0,0
460,IUB,05/28/2021,0,0
461,IUB,05/26/2021,0,0
462,IUB,05/24/2021,0,0
463,IUB,05/23/2021,0,0
464,IUB,05/22/2021,0,0
465,IUB,05/21/2021,0,0
466,IUB,05/17/2021,0,0
467,IUB,05/16/2021,0,0
468,IUB,05/15/2021,0,0
469,IUB,05/13/2021,0,0
470,IUB,05/09/2021,0,0
471,IUB,05/04/2021,0,0
472,IUB,04/28/2021,0,0
473,IUB,04/27/2021,0,0
474,IUB,04/21/2021,0,0
475,IUB,04/10/2021,0,0
476,IUB,04/07/2021,0,0
477,IUB,04/01/2021,0,0
478,IUB,03/31/2021,0,0
479,IUB,03/30/2021,0,0
480,IUB,03/28/2021,0,0
481,IUB,03/27/2021,0,0
482,IUB,03/26/2021,0,0
483,IUB,03/21/2021,0,0
484,IUB,03/18/2021,0,0
485,IUB,03/17/2021,0,0
486,IUB,03/15/2021,0,0
487,IUB,03/09/2021,0,0
488,IUB,03/08/2021,0,0
489,IUB,03/07/2021,0,0
490,IUB,12/02/2021,0,0
491,IUB,11/09/2021,0,0
492,IUB,10/24/2021,0,1
493,IUB,10/18/2021,0,0
494,IUB,10/17/2021,0,0
495,IUB,10/05/2021,0,0
496,IUB,07/10/2021,0,0
497,IUB,06/20/2021,0,0
498,IUB,06/19/2021,0,0
499,IUB,03/10/2021,0,0
500,IUB,02/24/2021,0,0
501,IUB,02/15/2021,0,0
502,IUB,02/03/2021,0,0
503,IUB,02/02/2021,0,0
504,IUB,01/06/2021,0,0
505,IUB,12/10/2020,0,0
506,IUB,12/05/2020,0,0
507,IUB,10/27/2020,0,4
508,IUB,10/18/2020,0,0
509,IUB,10/08/2020,0,0
510,IUB,09/30/2020,0,0
511,IUB,09/23/2020,0,0
512,IUB,09/12/2020,0,0
513,IUB,09/01/2020,0,0
514,IUB,08/17/2020,0,0
515,IUB,07/22/2020,0,0
516,IUB,07/17/2020,0,0
517,IUB,07/11/2020,0,0
518,IUB,07/05/2020,0,0
519,IUB,06/25/2020,0,0
520,IUB,06/22/2020,0,0
521,IUB,05/12/2020,0,0
522,IUB,04/15/2020,0,0
523,IUB,02/28/2020,0,0
524,IUB,02/19/2020,0,0
525,IUB,02/18/2020,0,0
526,IUB,12/16/2021,0,0
527,IUB,11/18/2021,0,0
528,IUB,11/16/2021,0,2
529,IUB,08/30/2021,0,0
530,IUB,08/26/2021,0,0
531,IUB,08/12/2021,0,0
532,IUB,08/10/2021,0,0
533,IUB,08/08/2021,0,0
534,IUB,08/05/2021,0,0
535,IUB,08/04/2021,0,0
536,IUB,07/23/2021,0,0
537,IUB,07/09/2021,0,0
538,IUB,05/10/2021,0,0
539,IUB,04/19/2021,0,0
540,IUB,04/14/2021,0,0
541,IUB,03/29/2021,0,0
542,IUB,03/13/2021,0,0
543,IUB,03/12/2021,0,0
544,IUB,03/04/2021,0,0
545,IUB,03/02/2021,0,0
546,IUB,03/01/2021,0,0
547,IUB,02/14/2021,0,0
548,IUB,02/06/2021,0,0
549,IUB,01/20/2021,0,0
550,IUB,12/14/2020,0,0
551,IUB,10/15/2020,0,0
552,IUB,10/13/2020,0,1
553,IUB,10/01/2020,0,0
554,IUB,09/22/2020,0,0
555,IUB,09/18/2020,0,0
556,IUB,08/05/2020,0,0
557,IUB,07/30/2020,0,0
558,IUB,07/06/2020,0,0
559,IUB,07/03/2020,0,0
560,IUB,06/30/2020,0,0
561,IUB,06/28/2020,0,0
562,IUB,06/26/2020,0,0
563,IUB,06/21/2020,0,0
564,IUB,06/10/2020,0,0
565,IUB,05/10/2020,0,0
566,IUB,04/12/2020,0,0
567,IUB,04/10/2020,0,0
568,IUB,03/29/2020,0,0
569,IUB,03/03/2020,0,0
570,IUB,02/24/2020,0,0
571,IUB,02/23/2020,0,0
572,IUB,02/22/2020,0,0
573,IUB,02/17/2020,0,0
574,IUB,02/13/2020,0,0
575,IUB,02/09/2020,0,0
576,IUB,01/26/2020,0,0
577,IUB,01/10/2020,0,0
578,IUB,01/07/2020,0,0
579,IUB,01/02/2020,0,0
580,IUB,12/12/2019,0,1
581,IUB,11/26/2019,0,0
582,IUB,11/23/2019,0,0
583,IUB,11/20/2019,0,0
584,IUB,11/04/2019,0,0
585,IUB,11/02/2019,0,0
586,IUB,10/21/2019,0,0
587,IUB,10/20/2019,0,0
588,IUB,10/15/2019,0,1
589,IUB,10/14/2019,0,0
590,IUB,09/16/2019,0,0
591,IUB,08/28/2019,0,0
592,IUB,08/18/2019,0,0
593,IUB,07/31/2019,0,0
594,IUB,07/30/2019,0,0
595,IUB,07/23/2019,0,0
596,IUB,07/13/2019,0,0
597,IUB,07/10/2019,0,0
598,IUB,11/21/2021,0,0
